crd_red_nome_integrador|rel_nome|qtd
NEXXERA|CF - Sitef - Conciliação Financeira Rede 1.8a|203
CANCAO|CF - Sitef - Conciliação Financeira Rede 1.8a|100
MUFFATO|CF - Sitef - Conciliação Financeira Rede 1.8a|82
ANGELONI|CF - Sitef - Angeloni|71
BOA VISTA|CF - Sitef - Conciliação Financeira Rede 1.8a|67
Italo Supermercados|CF - Sitef - Conciliação Financeira Rede 1.8a|33
IVASKO|CF - Sitef - Conciliação Financeira Rede 1.8a|29
ABASTECEDORA LEAO|CF - Sitef - Conciliação Financeira Rede 1.8a|19
REDE AGRICER|CF - Sitef - Conciliação Financeira Rede 1.8a|17
BAKLIZI|CF - Sitef - Conciliação Financeira Rede 1.8a|16
HILDA|CF - Sitef - Conciliação Financeira Rede 1.8a|15
REDE ZAT|CF - Sitef - Conciliação Financeira Rede 1.8a|13
SUPERMERCADO BAVARESCO|CF - Sitef - Conciliação Financeira Rede 1.8a|13
REDE PARANA|CF - Sitef - Conciliação Financeira Rede 1.8a|12
CENTER SUL - NOVO|CF - Sitef - Conciliação Financeira Rede 1.8a|11
SUPERMERCADOS NICOLINI|CF - Sitef - Conciliação Financeira Rede 1.8a|11
BOA VISTA|CF - Boa Vista|9
QUADRI SUPERMERCADOS LTDA|CF - Sitef - Conciliação Financeira Rede 1.8a|8
REDE STOCK|CF - Sitef - Conciliação Financeira Rede 1.8a|8
IGUATEMI|CF - Sitef - Conciliação Financeira Rede 1.8a|7
KELVE SUPERMERCADO|CF - Sitef - Conciliação Financeira Rede 1.8a|7
REDE BRASAO|CF - Sitef - Conciliação Financeira Rede 1.8a|7
SOS|CF - Sitef - Conciliação Financeira Rede 1.8a|7
SUPERMERCADO TRADICAO|CF - Sitef - Conciliação Financeira Rede 1.8a|7
MANO MANFROI|CF - Sitef - Conciliação Financeira Rede 1.8a|6
REDE BARATAO|CF - Sitef - Conciliação Financeira Rede 1.8a|6
SUPERMERCADO BRUDA|CF - Sitef - Conciliação Financeira Rede 1.8a|6
CENTER|CF - Sitef - Conciliação Financeira Rede 1.8a|5
Evolucenter|CF - Sitef - Conciliação Financeira Rede 1.8a|5
MOURA SUPER|CF - Sitef - Conciliação Financeira Rede 1.8a|5
REDE SIM|CF - Sitef - Conciliação Financeira Rede 1.8a|5
INATIVO|CF - Sitef - Conciliação Financeira Rede 1.8a|4
IRMAOS ULRICH|CF - Sitef - Conciliação Financeira Rede 1.8a|4
KRAEMER|CF - Sitef - Conciliação Financeira Rede 1.8a|4
N.B DAL SANTOS & CIA LTDA|CF - Sitef - Conciliação Financeira Rede 1.8a|4
QUADRI|CF - Sitef - Conciliação Financeira Rede 1.8a|4
REDE COMPRETUDO|CF - Sitef - Conciliação Financeira Rede 1.8a|4
REDE WT|CF - Sitef - Conciliação Financeira Rede 1.8a|4
RICKLI|CF - Sitef - Conciliação Financeira Rede 1.8a|4
SANTOS|CF - Sitef - Conciliação Financeira Rede 1.8a|4
SUPER MAGNABOSCO|CF - Sitef - Conciliação Financeira Rede 1.8a|4
SUPERMERCADOS NOVA ESTRELA|CF - Sitef - Conciliação Financeira Rede 1.8a|4
VIA MAIS|CF - Sitef - Conciliação Financeira Rede 1.8a|4
ADIELI|CF - Sitef - Conciliação Financeira Rede 1.8a|3
ALBERTI COMERCIO DE ALIMENTOS SAO CRISTOVAO LTDA|CF - Sitef - Conciliação Financeira Rede 1.8a|3
DAL SANTOS SUPERMERCADOS|CF - Sitef - Conciliação Financeira Rede 1.8a|3
PIU BELLE|CF - Sitef - Conciliação Financeira Rede 1.8a|3
REDE BERTAGNOLLI|CF - Sitef - Conciliação Financeira Rede 1.8a|3
REDE CRISTAL|CF - Sitef - Conciliação Financeira Rede 1.8a|3
ROYAL SUPERMERCADOS|CF - Sitef - Conciliação Financeira Rede 1.8a|3
SUPERMERCADO LABASKI|CF - Sitef - Conciliação Financeira Rede 1.8a|3
SUPERMERCADO MARCON|CF - Sitef - Conciliação Financeira Rede 1.8a|3
SUPER MERCOSUL|CF - Sitef - Conciliação Financeira Rede 1.8a|3
ALGERI|CF - Sitef - Conciliação Financeira Rede 1.8a|2
BARATEIRO|CF - Sitef - Conciliação Financeira Rede 1.8a|2
GIACOMEL|CF - Sitef - Conciliação Financeira Rede 1.8a|2
IMPERIAL SUPERMERCADOS|CF - Sitef - Conciliação Financeira Rede 1.8a|2
JEPSEN|CF - Sitef - Conciliação Financeira Rede 1.8a|2
NEVES|CF - Sitef - Conciliação Financeira Rede 1.8a|2
REDE LAR|CF - Sitef - Conciliação Financeira Rede 1.8a|2
REDE MILL|CF - Sitef - Conciliação Financeira Rede 1.8a|2
REDE UNIMAX|CF - Sitef - Conciliação Financeira Rede 1.8a|2
REVIWER|CF - Sitef - Conciliação Financeira Rede 1.8a|2
SUPERMERCADO CENTRAL|CF - Sitef - Conciliação Financeira Rede 1.8a|2
SUPERMERCADO SAVISKI LTDA|CF - Sitef - Conciliação Financeira Rede 1.8a|2
SUPERMERCADOS BLUM|CF - Sitef - Conciliação Financeira Rede 1.8a|2
SUPERMERCADO VITORIA|CF - Sitef - Conciliação Financeira Rede 1.8a|2
2 CORACOES COZINHA INDUSTRIAL|CF - Sitef - Conciliação Financeira Rede 1.8a|1
BONNO FREE SHOP|CF - Sitef - Conciliação Financeira Rede 1.8a|1
CARREIRA|CF - Sitef - Conciliação Financeira Rede 1.8a|1
CENTER ZONA SUL|CF - Sitef - Conciliação Financeira Rede 1.8a|1
CHIPITOSKI|CF - Sitef - Conciliação Financeira Rede 1.8a|1
COMERCIAL CAVALCANTE|CF - Sitef - Conciliação Financeira Rede 1.8a|1
CONTI FRUTAS SUPERMERCADO|CF - Sitef - Conciliação Financeira Rede 1.8a|1
COTRASUL|CF - Sitef - Conciliação Financeira Rede 1.8a|1
CRUZEIRO|CF - Sitef - Conciliação Financeira Rede 1.8a|1
DALLACQUA SUPERMERCADO|CF - Sitef - Conciliação Financeira Rede 1.8a|1
DAL SANTOS SUPERMERCADOS - CASTRO|CF - Sitef - Conciliação Financeira Rede 1.8a|1
HABANERO COMIDA MEXICANA|CF - Sitef - Conciliação Financeira Rede 1.8a|1
HELIO MARANGON|CF - Sitef - Conciliação Financeira Rede 1.8a|1
INDUSTRIAL|CF - Sitef - Conciliação Financeira Rede 1.8a|1
LANCHERIA BRASIL|CF - Sitef - Conciliação Financeira Rede 1.8a|1
LIESCH|CF - Sitef - Conciliação Financeira Rede 1.8a|1
MERCADO FELINI|CF - Sitef - Conciliação Financeira Rede 1.8a|1
MERCADO LISBOA|CF - Sitef - Conciliação Financeira Rede 1.8a|1
MERCADO PONTUAL|CF - Sitef - Conciliação Financeira Rede 1.8a|1
MERCADO RIBEIRO|CF - Sitef - Conciliação Financeira Rede 1.8a|1
MERCADO SAO PAULO|CF - Sitef - Conciliação Financeira Rede 1.8a|1
MERCADO SUPERSUL|CF - Sitef - Conciliação Financeira Rede 1.8a|1
MERCADO VITORIA - FRARON|CF - Sitef - Conciliação Financeira Rede 1.8a|1
MINI MERCADO PARAISO|CF - Sitef - Conciliação Financeira Rede 1.8a|1
NO PONTO SUPERMERCADO 4489|CF - Sitef - Conciliação Financeira Rede 1.8a|1
POLO|CF - Sitef - Conciliação Financeira Rede 1.8a|1
REDE SUL 10 CENTRAL|CF - Sitef - Conciliação Financeira Rede 1.8a|1
REDE SUL 10 - SILVA|CF - Sitef - Conciliação Financeira Rede 1.8a|1
SAULO FIGURA|CF - Sitef - Conciliação Financeira Rede 1.8a|1
SUPER DAL SANTOS CASTRO|CF - Sitef - Conciliação Financeira Rede 1.8a|1
SUPERMERCADO BARATAO|CF - Sitef - Conciliação Financeira Rede 1.8a|1
SUPERMERCADO BOCCHI - CLEVELANDIA|CF - Sitef - Conciliação Financeira Rede 1.8a|1
SUPERMERCADO BOCCHI - REALEZA|CF - Sitef - Conciliação Financeira Rede 1.8a|1
SUPERMERCADO CAVALIN BORA|CF - Sitef - Conciliação Financeira Rede 1.8a|1
SUPERMERCADO LIDER - BITURUNA|CF - Sitef - Conciliação Financeira Rede 1.8a|1
SUPERMERCADO LIESCH|CF - Sitef - Conciliação Financeira Rede 1.8a|1
SUPERMERCADO MACLIV|CF - Sitef - Conciliação Financeira Rede 1.8a|1
SUPERMERCADO MORONI|CF - Sitef - Conciliação Financeira Rede 1.8a|1
SUPERMERCADO NEVES|CF - Sitef - Conciliação Financeira Rede 1.8a|1
SUPERMERCADO PALMEIRA|CF - Sitef - Conciliação Financeira Rede 1.8a|1
SUPERMERCADO PROGRESSO - SLO|CF - Sitef - Conciliação Financeira Rede 1.8a|1
SUPERMERCADO REAL|CF - Sitef - Conciliação Financeira Rede 1.8a|1
SUPERMERCADO SAO ROQUE|CF - Sitef - Conciliação Financeira Rede 1.8a|1
SUPERMERCADO SOLAR|CF - Sitef - Conciliação Financeira Rede 1.8a|1
SUPERMERCADO TAUSCHER|CF - Sitef - Conciliação Financeira Rede 1.8a|1
SUPERMERCADO VANESS|CF - Sitef - Conciliação Financeira Rede 1.8a|1
SUPERMERCADO VIVIAN|CF - Sitef - Conciliação Financeira Rede 1.8a|1
